#id,tipo,ipOrigem,portaOrigem,hostnameOrigem,ipDestino,portaDestino,malware,protocolo,sistemaOperacional,passo1,passo2,passo3,passo4,passo5,passo6,passo7,passo8,passo9,passo10,passo11,passo12,passo13,passo14
113,6,3364100130,45751,0,0,0,0,3,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
114,2,3364102937,39527,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
115,1,3356634133,9671,7,3496221418,80,3,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
116,1,3356631507,35086,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
117,1,3356634133,26356,7,3496221418,80,3,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
118,1,3356633986,61052,1,2525083728,5560,25,5,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
119,1,3356631507,58065,29,3496221418,80,3,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
120,1,3356631507,33120,29,3496221418,80,3,0,1,16,17,28,29,25,5,2,3,9,31,32,38,23,0
121,1,3364145258,52443,0,3496221418,80,3,0,1,11,12,11,12,42,23,0,0,0,0,0,0,0,0
122,1,3356631507,60225,0,3496221418,0,3,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
123,1,3364100143,43418,0,1760825084,0,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
124,1,3356633858,50672,32,2488364921,80,26,4,0,16,17,11,12,23,0,0,0,0,0,0,0,0,0
125,1,3356633858,54707,32,3496221418,80,10,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
126,1,3356631406,2540,17,1760825085,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
127,1,3364100143,41362,0,1760825084,0,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
128,1,3364100143,34363,0,1760825084,0,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
129,1,3364100143,42372,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
130,1,3364100143,57811,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
131,1,3356634586,51956,3,1386554650,80,6,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
132,1,3356633858,61033,0,3496221418,80,3,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
133,1,3356631507,48263,29,1386554650,80,6,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
134,2,3364102957,64406,0,0,0,0,1,0,16,17,1,11,35,12,42,21,22,23,0,0,0,0
135,1,3356634586,50035,3,3571711174,80,7,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
136,1,3356631528,55697,27,3496221418,80,10,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
137,1,3356633986,52932,1,0,0,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
138,1,3356631528,49733,27,3496221418,80,0,0,0,16,17,28,29,8,6,9,2,3,31,38,23,0,0
139,1,3356633986,53791,1,0,0,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
140,1,3356633986,51028,1,0,0,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
141,1,3356634586,60393,3,0,80,6,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
142,1,3356631852,2542,30,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
143,1,3356631507,41101,29,3496221418,80,3,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
144,1,3356633858,62663,32,0,80,6,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
145,1,3356631071,0,0,0,0,9,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
146,1,3356631507,40367,0,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
147,1,3356633858,51457,0,1466602897,0,14,0,3,16,17,11,12,23,0,0,0,0,0,0,0,0,0
148,1,3356631507,45787,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
149,1,3356631852,1770,30,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
150,1,3356631507,38084,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
151,4,3356631485,0,0,0,0,0,0,0,16,17,11,25,43,44,31,23,0,0,0,0,0,0
152,5,3356631541,0,0,0,0,0,3,0,16,17,1,11,35,12,42,21,22,23,0,0,0,0
153,1,3356631507,35462,0,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
154,1,3356631507,51441,0,1760825084,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
155,1,3356631406,2227,17,1760825085,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
156,1,3356631397,2210,18,1760825084,0,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
157,1,3356631402,3404,19,1760825084,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
158,1,3356631507,53944,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
159,1,3356631406,2671,17,1760825085,80,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
160,1,3356631397,1512,18,1760825084,80,0,0,0,16,17,11,12,23,0,0,0,0,0,0,0,0,0
161,1,3356631403,0,16,1607722571,80,2,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
162,1,3356631406,2272,17,1607722571,80,2,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
163,1,3356631402,3105,19,1607722571,80,2,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
164,1,3356631507,47565,29,1607722571,80,2,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
165,1,3356631397,4034,18,1607722571,80,2,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
166,1,3356631406,2614,0,0,0,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
167,1,3356631403,3868,0,0,0,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
168,1,3356631402,1339,0,0,0,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
169,1,3356631397,2112,0,0,0,4,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
170,1,3356631527,42515,26,1607722571,80,2,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
171,1,3356631524,48934,25,1607722571,80,2,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
172,1,3356631507,51337,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
173,2,3356633442,51413,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
174,1,3364100143,60430,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
175,1,3364100143,60430,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
176,1,3356631507,38778,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
177,1,3364100143,47050,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
178,1,3364100143,59648,0,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
179,1,3356631507,45777,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
180,1,3356631852,1401,30,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
181,1,3364100143,58718,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
182,1,3356631507,46340,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
183,1,3356631507,59657,29,0,0,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
184,1,3356631507,44457,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
185,1,3356631507,57660,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
186,1,3364100143,55220,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
187,1,3356631507,51915,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
188,1,3356631507,48941,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
189,1,3364100143,59423,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
190,1,3364100143,43928,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
191,1,3364100143,43738,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
192,1,3356631578,2137,20,1760824857,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
193,1,3356631507,43929,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
194,1,3364100143,60859,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
195,1,3356631507,59818,29,1760825084,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
196,1,3356631578,2332,20,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
197,1,3356631578,2622,20,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
198,1,3364100143,55946,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
199,1,3356631507,53762,29,1760824857,80,4,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
200,1,3364100143,43231,14,1760825084,80,4,0,1,16,17,1,11,35,12,42,21,22,23,0,0,0,0
201,1,3356631578,2079,20,1760825084,80,4,0,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
202,7,3364103318,0,0,0,0,0,0,0,16,17,1,11,35,12,42,21,22,23,0,0,0,0
203,7,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
204,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
205,8,3364104053,0,34,0,0,0,0,0,16,17,11,39,25,37,36,23,0,0,0,0,0,0
206,1,3356633365,0,15,2586030025,0,0,2,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
207,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
208,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
209,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
210,2,3364100244,57162,0,0,0,0,1,0,16,17,1,15,33,31,21,22,23,0,0,0,0,0
211,1,3356633858,53250,0,0,80,26,4,1,16,17,1,15,25,5,2,3,9,31,21,22,23,0
212,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
213,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
214,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
215,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
216,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
217,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
218,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
