1028450,1,17,35023,64,29,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
1022721,8,10,null,null,2,null,null,null,null,null,2,16,17,11,39,25,37,36,23,null,null,null,null,null,null
1022675,2,71,6177,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
997164,1,40,50683,16,null,98,null,11,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
994507,1,11,4383,null,null,65,null,null,4,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
994508,1,12,3837,null,null,65,null,null,4,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
994509,1,14,1723,null,null,66,null,null,4,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
993494,1,23,47268,null,null,65,null,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
993192,1,12,3137,39,19,65,80,null,4,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
993191,1,11,2204,53,18,65,80,null,4,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
993193,1,14,null,32,17,66,80,null,4,null,1,16,17,11,25,12,23,null,null,null,null,null,null,null,null
992031,1,23,60717,54,28,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
991871,2,7,40500,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
982395,2,71,52611,null,null,null,null,null,null,1,null,16,17,1,11,35,12,42,21,22,null,null,null,null,null
974506,1,43,10081,1,32,98,null,9,3,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
969641,1,43,51770,null,32,40,80,25,6,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
966061,6,62,22,null,null,30,null,null,null,3,null,16,17,1,15,25,5,2,3,9,31,21,22,23,null
966022,5,62,22,null,null,null,null,null,null,3,null,16,17,1,15,25,5,2,3,9,31,21,22,23,null
966062,6,62,45751,null,null,null,null,null,null,3,null,16,17,1,15,25,5,2,3,9,31,21,22,23,null
955081,2,71,39527,null,null,null,null,null,null,1,null,16,17,1,15,33,31,21,22,23,null,null,null,null,null
936896,1,46,9671,7,7,98,80,10,3,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
933154,1,17,35086,58,29,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
933141,1,46,26356,12,7,98,80,1,3,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
933140,1,42,61052,null,1,73,5560,null,25,5,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
917886,1,17,58065,10,29,98,80,3,3,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
907055,1,17,33120,17,29,98,80,24,3,null,1,16,17,28,29,25,5,2,3,9,31,32,38,23,null
904148,1,83,52443,7,null,98,80,18,3,null,1,11,12,11,12,42,23,null,null,null,null,null,null,null,null
903206,1,17,60225,4,null,98,null,24,3,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
901239,1,64,43418,null,null,65,null,null,4,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
900059,1,43,50672,null,32,70,80,null,26,4,null,16,17,11,12,23,null,null,null,null,null,null,null,null,null
895217,1,43,54707,null,32,98,80,22,10,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
892740,1,14,2540,32,17,66,80,null,4,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
891241,1,64,41362,null,null,65,null,null,4,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
886722,1,64,34363,null,null,65,null,null,4,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
884466,1,64,42372,36,14,65,80,null,4,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
882896,1,64,57811,36,14,65,80,null,4,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
882873,1,51,51956,null,3,40,80,null,6,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
876333,1,43,61033,3,null,98,80,12,3,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
875543,1,17,48263,null,29,40,80,5,6,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
